update_rule,K,N,L,attack,training_time,adversary_score
hebbian,4.0,8.0,13.0,none,199.16539,80.40865
hebbian,4.0,8.0,14.0,geometric,246.7994,81.80804
hebbian,4.0,8.0,14.0,none,229.942,79.35268
hebbian,4.0,8.0,15.0,geometric,187.82883999999999,82.916664
hebbian,4.0,8.0,15.0,none,265.98242,83.645836
hebbian,4.0,8.0,16.0,geometric,317.58008,71.484375
hebbian,4.0,8.0,16.0,none,212.01442000000003,81.25
hebbian,4.0,8.0,17.0,geometric,236.41655,78.492645
hebbian,4.0,8.0,17.0,none,275.41138,83.27206
hebbian,4.0,24.0,4.0,geometric,58.840748000000005,77.60416500000001
hebbian,4.0,24.0,4.0,none,66.47028,73.632813
hebbian,4.0,24.0,24.0,geometric,2134.0167,78.29861
hebbian,4.0,24.0,24.0,none,2218.77985,80.078125
hebbian,24.0,4.0,4.0,geometric,66.2149885,79.427086
hebbian,24.0,4.0,4.0,none,79.277318,74.414062
hebbian,24.0,4.0,24.0,geometric,2186.4723,77.17013750000001
hebbian,24.0,4.0,24.0,none,2383.7622,80.002172
hebbian,24.0,24.0,4.0,geometric,495.90288000000004,77.560765
hebbian,24.0,24.0,4.0,none,458.42017,76.3997425
hebbian,24.0,24.0,24.0,geometric,17816.2585,79.43793199999999
hebbian,24.0,24.0,24.0,none,14846.953999999998,79.494
random_walk,4.0,4.0,4.0,geometric,9.336139333333334,76.82291666666667
random_walk,4.0,4.0,4.0,none,8.40602794646465,78.98516414141415
random_walk,4.0,4.0,5.0,geometric,16.623299,88.75
random_walk,4.0,4.0,5.0,none,7.465053999999999,82.5
random_walk,4.0,4.0,6.0,geometric,25.912823,72.395836
random_walk,4.0,4.0,6.0,none,15.191653,78.645836
random_walk,4.0,4.0,7.0,geometric,29.488604,74.55357
random_walk,4.0,4.0,7.0,none,26.70628,79.46429
random_walk,4.0,4.0,8.0,geometric,23.973942,74.21875
random_walk,4.0,4.0,8.0,none,12.595329,75.390625
random_walk,4.0,4.0,9.0,geometric,34.13365,86.458336
random_walk,4.0,4.0,9.0,none,62.703880000000005,75.69444
random_walk,4.0,4.0,10.0,geometric,35.788906,69.0625
random_walk,4.0,4.0,10.0,none,43.408783,85.9375
random_walk,4.0,4.0,11.0,geometric,65.41676,73.86364
random_walk,4.0,4.0,11.0,none,69.02038,81.53409
random_walk,4.0,4.0,12.0,geometric,130.91705,86.197914
random_walk,4.0,4.0,12.0,none,97.66594,72.395836
random_walk,4.0,4.0,13.0,geometric,92.32091,73.79808
random_walk,4.0,4.0,13.0,none,126.228485,76.92308
random_walk,4.0,4.0,14.0,geometric,95.50855,72.09821
random_walk,4.0,4.0,14.0,none,89.6126,83.03571
random_walk,4.0,4.0,15.0,geometric,104.9307,76.25
random_walk,4.0,4.0,15.0,none,96.857445,81.25
