update_rule,K,N,L,attack,tt,training_time,adversary_score_none,adversary_score_geometric,adversary_score_average
hebbian,4,5,12,geometric,82.00435,83.1493575,70,78.125,74.0625
hebbian,4,5,12,none,84.294365,121.9361225,78.65385,70,74.326925
hebbian,4,5,13,geometric,159.57788,154.02098,80.96154,78.65385,79.807695
hebbian,4,5,13,none,148.46408,145.088515,77.14286,80.96154,79.0522
hebbian,4,5,14,geometric,141.71295,118.9615125,79.10714,77.14286,78.125
hebbian,4,5,14,none,96.210075,125.6776175,86,79.10714,82.55357
hebbian,4,5,15,geometric,155.14516,148.559715,82.166664,86,84.083332
hebbian,4,5,15,none,141.97427,113.51166,82.5,82.166664,82.333332
hebbian,4,5,16,geometric,85.04905,126.560665,72.03125,82.5,77.265625
hebbian,4,5,16,none,168.07228,182.481185,81.47059,72.03125,76.75092
hebbian,4,5,17,geometric,196.89009,222.927835,76.32353,81.47059,78.89706
hebbian,4,5,17,none,248.96558,209.8771,84.166664,76.32353,80.245097
hebbian,4,5,18,geometric,170.78862,181.152595,73.47222,84.166664,78.819442
hebbian,4,5,18,none,191.51657,228.91266,79.07895,73.47222,76.275585
hebbian,4,5,19,geometric,266.30875,250.84414,78.1579,79.07895,78.618425
hebbian,4,5,19,none,235.37953,232.548765,76,78.1579,77.07895
hebbian,4,5,20,geometric,229.718,238.6519,84.125,76,80.0625
hebbian,4,5,20,none,247.5858,233.915545,80.2381,84.125,82.18155
hebbian,4,5,21,geometric,220.24529,271.90568,83.92857,80.2381,82.083335
hebbian,4,5,21,none,323.56607,267.5624,84.204544,83.92857,84.066557
hebbian,4,5,22,geometric,211.55873,225.303285,76.818184,84.204544,80.511364
hebbian,4,5,22,none,239.04784,269.069635,76.95652,76.818184,76.887352
hebbian,4,5,23,geometric,299.09143,354.403465,80.434784,76.95652,78.695652
hebbian,4,5,23,none,409.7155,212.7753325,73.4375,80.434784,76.936142
hebbian,4,6,4,geometric,15.835165,16.5481835,74.479164,73.4375,73.958332
hebbian,4,6,4,none,17.261202,20.1865255,76.666664,74.479164,75.572914
hebbian,4,6,5,geometric,23.111849,22.977852,80.416664,76.666664,78.541664
hebbian,4,6,5,none,22.843855,26.282606,73.263885,80.416664,76.8402745
hebbian,4,6,6,geometric,29.721357,26.785286,73.263885,73.263885,73.263885
hebbian,4,6,6,none,23.849215,31.3660375,77.67857,73.263885,75.4712275
hebbian,4,6,7,geometric,38.88286,41.3011425,73.21429,77.67857,75.44643
hebbian,4,6,7,none,43.719425,62.1064025,82.03125,73.21429,77.62277
hebbian,4,6,8,geometric,80.49338,65.862203,76.302086,82.03125,79.166668
hebbian,4,6,8,none,51.231026,47.60014,76.15741,76.302086,76.229748
hebbian,4,6,9,geometric,43.969254,48.533131,82.87037,76.15741,79.51389
hebbian,4,6,9,none,53.097008,83.045979,78.541664,82.87037,80.706017
hebbian,4,6,10,geometric,112.99495,97.519415,79.375,78.541664,78.958332
hebbian,4,6,10,none,82.04388,81.67341,76.32576,79.375,77.85038
hebbian,4,6,11,geometric,81.30294,76.974025,79.92424,76.32576,78.125
hebbian,4,6,11,none,72.64511,110.67636,73.78472,79.92424,76.85448
hebbian,4,6,12,geometric,148.70761,117.630235,84.72222,73.78472,79.25347
hebbian,4,6,12,none,86.55286,100.372635,70.51282,84.72222,77.61752
hebbian,4,6,13,geometric,114.19241,111.739832,79.80769,70.51282,75.160255
hebbian,4,6,13,none,109.287254,132.141497,81.99405,79.80769,80.90087
hebbian,4,6,14,geometric,154.99574,189.8552,79.166664,81.99405,80.580357
hebbian,4,6,14,none,224.71466,189.499535,66.25,79.166664,72.708332
hebbian,4,6,15,geometric,154.28441,145.91719,80.416664,66.25,73.333332
hebbian,4,6,15,none,137.54997,235.214635,69.66146,80.416664,75.039062
hebbian,4,6,16,geometric,332.8793,283.705985,69.66146,69.66146,69.66146
hebbian,4,6,16,none,234.53267,190.918145,76.47059,69.66146,73.066025
hebbian,4,6,17,geometric,147.30362,165.117935,84.55882,76.47059,80.514705
hebbian,4,6,17,none,182.93225,236.185045,84.375,84.55882,84.46691
hebbian,4,6,18,geometric,289.43784,298.68195,78.00926,84.375,81.19213
hebbian,4,6,18,none,307.92606,268.09214,82.12719,78.00926,80.068225
hebbian,4,6,19,geometric,228.25822,247.49555,72.916664,82.12719,77.521927
hebbian,4,6,19,none,266.73288,243.61296,82.604164,72.916664,77.760414
hebbian,4,6,20,geometric,220.49304,282.009535,83.541664,82.604164,83.072914
hebbian,4,6,20,none,343.52603,346.884565,78.968254,83.541664,81.254959
hebbian,4,6,21,geometric,350.2431,321.26312,79.06746,78.968254,79.017857
hebbian,4,6,21,none,292.28314,338.188645,83.23864,79.06746,81.15305
hebbian,4,6,22,geometric,384.09415,367.85199,74.33712,83.23864,78.78788
hebbian,4,6,22,none,351.60983,392.72534,82.246376,74.33712,78.291748
hebbian,4,6,23,geometric,433.84085,422.94664,86.141304,82.246376,84.19384
hebbian,4,6,23,none,412.05243,212.5232675,83.48214,86.141304,84.811722
hebbian,4,7,4,geometric,12.994105,15.481354,73.66071,83.48214,78.571425
hebbian,4,7,4,none,17.968603,20.178544,83.21429,73.66071,78.4375
hebbian,4,7,5,geometric,22.388485,22.7227165,83.57143,83.21429,83.39286
hebbian,4,7,5,none,23.056948,21.9137,76.78571,83.57143,80.17857
hebbian,4,7,6,geometric,20.770452,31.824976,80.059525,76.78571,78.4226175
hebbian,4,7,6,none,42.8795,36.078345,74.4898,80.059525,77.2746625
hebbian,4,7,7,geometric,29.27719,31.1864735,78.31633,74.4898,76.403065
hebbian,4,7,7,none,33.095757,40.77561,87.05357,78.31633,82.68495
hebbian,4,7,8,geometric,48.455463,69.5016715,72.99107,87.05357,80.02232
hebbian,4,7,8,none,90.54788,71.898355,81.94444,72.99107,77.467755
hebbian,4,7,9,geometric,53.24883,66.345695,87.5,81.94444,84.72222
hebbian,4,7,9,none,79.44256,101.966542,81.42857,87.5,84.464285
hebbian,4,7,10,geometric,124.490524,98.548692,78.57143,81.42857,80
hebbian,4,7,10,none,72.60686,91.5168625,84.09091,78.57143,81.33117
hebbian,4,7,11,geometric,110.426865,98.8074775,78.57143,84.09091,81.33117
