steps,training_time
3535,179.1279
4556,234.35193
129,6.5752087
5419,283.4345
5822,296.6229
220,11.421607
184,10.580004
3687,212.82019
115,6.284646
127,7.031077
121,6.5073423
5464,285.70316
2782,155.53587
76,4.242516
162,8.806725
5416,287.92947
194,10.197178
156,7.932873
5933,323.79114
210,11.829237
4173,215.01376
12021,495.5126
253,14.106356
6401,354.48517
146,7.6509447
3579,183.44078
210,12.186793
247,13.657312
109,6.194755
4509,240.47855
5779,316.6619
185,9.439938
3378,180.04987
141,6.9472933
7090,390.79834
146,7.917443
127,6.918036
3111,160.04092
200,11.092255
7555,380.78067
122,6.029689
104,5.245773
93,4.3840513
190,10.510624
7730,411.71307
86,4.7591276
101,4.6548643
268,15.169104
189,9.900211
134,6.854479
4037,212.96654
8088,443.27527
4799,266.70822
89,4.545414
5974,339.9874
130,7.1646996
208,10.518575
3189,160.26242
189,9.11898
108,5.659869
162,8.352111
5282,291.11792
165,9.577346
6503,373.0284
103,5.1474733
263,12.989486
3731,197.66084
169,9.744668
9532,558.1374
4407,237.10634
4012,205.19702
127,6.704328
5877,305.23145
109,5.887858
4073,223.81364
132,6.825165
7095,388.1106
90,5.290895
4588,241.22224
5801,325.38608
161,8.589598
216,12.107703
4527,239.71545
274,15.372055
187,10.807268
168,9.695761
5442,296.79648
131,7.1144104
107,5.850256
3984,199.27219
103,5.486159
5133,266.75436
130,6.999614
3827,220.99846
6741,359.0611
121,6.950163
125,6.623144
4741,250.1528
110,5.972414
110,6.271039
169,8.290995
118,5.870401
4425,246.01581
117,5.878381
139,8.041161
136,6.668434
4904,250.03577
5075,277.53912
4831,268.9724
6793,389.8874
141,6.932509
318,18.357994
168,8.972729
4857,258.5243
107,5.3810396
5374,298.1429
104,5.666416
138,7.5897093
182,9.02944
6595,383.5179
182,8.870857
113,5.8986397
139,7.08438
3992,199.93332
3383,172.80988
211,9.988272
238,11.963351
160,8.324736
6530,345.96744
108,6.168964
124,6.587994
4362,228.9715
3125,162.53438
136,7.024848
10408,394.69577
161,8.684128
68,3.225969
3808,201.64055
122,6.13126
100,5.532305
6222,333.9094
4495,235.051
157,8.749435
107,5.661969
4134,242.52419
197,11.152286
5464,288.5415
123,6.144799
226,12.928869
5133,245.80151
155,8.044857
6711,366.7412
269,13.761255
7848,412.52884
162,7.838364
95,4.872726
7627,449.61188
106,5.542859
4305,246.92313
182,9.995934
5246,266.34192
202,10.326457
5889,303.64957
158,8.111525
163,8.5605755
212,11.118429
3620,194.70999
177,9.542082
220,11.877092
3659,186.90529
139,7.515913
3262,165.89163
241,13.505909
4246,235.51338
114,6.092107
6552,356.24554
3885,208.93823
104,5.674059
6467,352.02673
144,6.786477
127,7.173737
109,5.870255
220,12.671619
4499,244.9434
7187,374.32205
119,6.251129
188,10.532686
224,11.992227
91,4.967325
4929,261.10272
5718,310.48044
155,7.812524
3079,157.90651
3156,179.25389
137,6.9538727
3652,196.8521
4232,222.54457
126,6.393895
5033,279.61606
98,5.6929846
6327,360.39255
73,4.070917
110,5.130007
4034,207.82689
133,7.689747
215,11.881018
105,5.2696066
4427,235.93698
151,7.390108
210,10.303502
3808,198.59909
6510,352.30365
183,9.605379
4529,227.20763
169,8.448821
4705,266.60678
108,5.050839
3692,194.01855
157,8.394099
127,6.256317
6018,311.02252
219,11.202287
295,15.898281
109,5.738456
154,8.169638
4970,244.28033
156,8.376861
144,7.06359
84,4.197392
3709,189.95421
182,9.764094
223,11.841092
126,6.320159
6222,352.73828
4063,226.96712
204,11.168211
7983,435.70898
238,12.222684
147,7.453451
142,7.844902
3399,186.50864
92,4.446965
4588,245.63435
6381,331.62714
115,5.578017
4947,273.6694
200,11.650404
203,11.42174
7879,437.8594
131,6.582453
5868,313.42435
4908,263.60773
4579,248.39471
267,14.649635
220,10.958582
117,6.290665
2843,150.44164
131,7.1668262
5383,287.42535
118,6.3573313
239,12.741482
203,10.493797
3354,187.87149
221,12.473803
176,8.773507
136,7.331465
3987,203.62256
198,11.45319
4703,273.92493
161,9.135894
176,9.21641
6236,348.247
157,8.567547
4164,215.35782
157,7.726523
1980,109.39636
222,11.672288
7104,395.32315
127,6.63523
4538,257.07544
83,5.007686
118,6.135409
183,10.257826
5354,266.91568
154,9.186741
108,5.43652
7096,387.81424
227,12.170282
105,5.859077
5098,261.3847
119,6.1622057
3895,209.08527
103,5.417418
4018,212.76479
142,6.951104
3352,181.58578
140,6.844928
106,5.623476
4713,242.23665
123,6.889761
