update_rule,K,N,L,attack,training_time,adversary_score
anti_hebbian,4.0,4.0,24.0,none,350.29742,82.94271
anti_hebbian,4.0,4.0,4.0,none,6.3589544,67.1875
hebbian,4.0,4.0,4.0,none,8.7023735,85.15625
anti_hebbian,4.0,4.0,24.0,none,526.65173,80.208336
anti_hebbian,4.0,4.0,4.0,none,6.651108,77.34375
random_walk,4.0,4.0,4.0,none,6.155769,78.125
random_walk,4.0,4.0,4.0,none,9.3291855,89.84375
hebbian,4.0,4.0,24.0,none,373.41013,72.65625
random_walk,4.0,4.0,4.0,none,7.6323633,80.46875
anti_hebbian,4.0,4.0,4.0,none,11.016014,79.6875
anti_hebbian,4.0,4.0,24.0,none,328.80902,81.640625
random_walk,4.0,4.0,4.0,none,6.6675234,88.28125
hebbian,4.0,4.0,24.0,none,222.36398,81.770836
hebbian,4.0,4.0,4.0,none,7.6407633,71.09375
anti_hebbian,4.0,4.0,24.0,none,148.05736,76.822914
hebbian,4.0,4.0,4.0,none,8.842759,80.46875
hebbian,4.0,4.0,24.0,none,257.3435,80.729164
hebbian,4.0,4.0,4.0,none,11.581887,81.25
random_walk,4.0,4.0,4.0,none,8.116662,89.84375
anti_hebbian,4.0,4.0,24.0,none,223.5739,81.11979
random_walk,4.0,4.0,4.0,none,7.588957,76.5625
anti_hebbian,4.0,4.0,4.0,none,7.951269,72.65625
anti_hebbian,4.0,4.0,4.0,none,10.845659,82.03125
random_walk,4.0,4.0,4.0,none,9.883515,84.375
hebbian,4.0,4.0,24.0,none,289.12204,75.390625
hebbian,4.0,4.0,24.0,none,277.22253,69.010414
anti_hebbian,4.0,4.0,24.0,none,229.98985,74.34896
anti_hebbian,4.0,4.0,24.0,none,278.01038,86.06771
random_walk,4.0,4.0,4.0,none,9.220591,86.71875
anti_hebbian,4.0,4.0,4.0,none,8.678255,78.90625
hebbian,4.0,4.0,4.0,none,8.881355,89.84375
anti_hebbian,4.0,4.0,24.0,none,272.72568,76.822914
anti_hebbian,4.0,4.0,4.0,none,9.100695,74.21875
anti_hebbian,4.0,4.0,4.0,none,9.914965,72.65625
random_walk,4.0,4.0,4.0,none,9.893603,82.8125
hebbian,4.0,4.0,24.0,none,318.37875,74.21875
anti_hebbian,4.0,4.0,4.0,none,10.082228,89.0625
anti_hebbian,4.0,4.0,24.0,none,298.68182,90.364586
hebbian,4.0,4.0,4.0,none,6.840026,78.125
random_walk,4.0,4.0,4.0,none,9.495895,74.21875
anti_hebbian,4.0,4.0,4.0,none,7.980226,75.0
anti_hebbian,4.0,4.0,24.0,none,380.93967,80.078125
hebbian,4.0,4.0,24.0,none,255.83513,84.635414
anti_hebbian,4.0,4.0,24.0,none,162.58102,69.53125
anti_hebbian,4.0,4.0,4.0,none,6.635181,83.59375
random_walk,4.0,4.0,4.0,none,13.369048,79.6875
random_walk,4.0,4.0,4.0,none,6.362339,76.5625
anti_hebbian,4.0,4.0,24.0,none,203.25998,88.020836
hebbian,4.0,4.0,4.0,none,4.529323,82.03125
hebbian,4.0,4.0,24.0,none,250.29626,79.55729
anti_hebbian,4.0,4.0,4.0,none,6.8471537,84.375
hebbian,4.0,4.0,4.0,none,6.289877,76.5625
anti_hebbian,4.0,4.0,24.0,none,290.47464,90.625
random_walk,4.0,4.0,4.0,none,6.415534,73.4375
anti_hebbian,4.0,4.0,4.0,none,6.253603,80.46875
random_walk,4.0,4.0,4.0,none,5.058029,80.46875
hebbian,4.0,4.0,4.0,none,5.599511,80.46875
random_walk,4.0,4.0,4.0,none,7.0898447,69.53125
anti_hebbian,4.0,4.0,24.0,none,171.85162,78.77604
hebbian,4.0,4.0,4.0,none,5.957203,86.71875
